"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"215","~oni_avg2 + season2","~year2","~rain_sum2 * season2","Phi(~oni_avg2 + season2)p(~year2)f(~rain_sum2 * season2)",18,17708.0625906222,178.970918322848,0,897.69146
"282","~oni_avg2 * season2 + sex","~year2","~gpp_avg2 * season2","Phi(~oni_avg2 * season2 + sex)p(~year2)f(~gpp_avg2 * season2)",20,17708.5006315789,179.408959279612,0,894.08339
"332","~rain_cv_lag2 + season2","~time + sex","~rain_cv_lag2 * season2 + sex","Phi(~rain_cv_lag2 + season2)p(~time + sex)f(~rain_cv_lag2 * season2 + sex)",31,17708.9206722993,179.829000000002,0,872.15669
"977","~temp_cv2 * season2 + sex","~time + sex","~rain_sum_lag2 * season2","Phi(~temp_cv2 * season2 + sex)p(~time + sex)f(~rain_sum_lag2 * season2)",32,17709.324488681,180.23281638162,0,870.5222
"320","~rain_cv_lag2 + season2","~time","~rain_cv_lag2 * season2 + sex","Phi(~rain_cv_lag2 + season2)p(~time)f(~rain_cv_lag2 * season2 + sex)",30,17709.6710859729,180.579413673517,0,874.94522
"210","~oni_avg2 + season2","~year2","~gpp_avg2 * season2 + sex","Phi(~oni_avg2 + season2)p(~year2)f(~gpp_avg2 * season2 + sex)",19,17709.995502706,180.903830406616,0,897.6018
"363","~rain_cv_lag2 + season2 + sex","~time + sex","~rain_cv_lag2 + season2","Phi(~rain_cv_lag2 + season2 + sex)p(~time + sex)f(~rain_cv_lag2 + season2)",30,17710.1160859729,181.024413673516,0,875.39033
"514","~rain_cv2 * season2 + sex","~time","~gpp_avg2 * season2","Phi(~rain_cv2 * season2 + sex)p(~time)f(~gpp_avg2 * season2)",31,17711.0976722993,182.006000000001,0,874.33368
"294","~rain_cv_lag2","~time","~rain_cv2 * season2 + sex","Phi(~rain_cv_lag2)p(~time)f(~rain_cv2 * season2 + sex)",29,17711.2347285887,182.143056289326,0,878.54484
"519","~rain_cv2 * season2 + sex","~time + sex","~gpp_avg2 + season2","Phi(~rain_cv2 * season2 + sex)p(~time + sex)f(~gpp_avg2 + season2)",31,17711.3066722993,182.215,0,874.54288
"513","~rain_cv2 * season2 + sex","~time","~gpp_avg2 + season2","Phi(~rain_cv2 * season2 + sex)p(~time)f(~gpp_avg2 + season2)",30,17712.0340859729,182.942413673518,0,877.30776
"731","~rain_sum2 + season2 + sex","~time","~rain_cv_lag2 * season2 + sex","Phi(~rain_sum2 + season2 + sex)p(~time)f(~rain_cv_lag2 * season2 + sex)",31,17712.1326722993,183.041000000001,0,875.3692
"292","~rain_cv_lag2","~time","~rain_cv2 + season2 + sex","Phi(~rain_cv_lag2)p(~time)f(~rain_cv2 + season2 + sex)",28,17713.0605990353,183.968926735939,0,882.4058
"847","~rain_sum2 * season2 + sex","~year2","~rain_sum2 + season2 + sex","Phi(~rain_sum2 * season2 + sex)p(~year2)f(~rain_sum2 + season2 + sex)",20,17713.1796315789,184.087959279612,0,898.76244
"307","~rain_cv_lag2","~time + sex","~rain_cv2 * season2 + sex","Phi(~rain_cv_lag2)p(~time + sex)f(~rain_cv2 * season2 + sex)",30,17713.2340859729,184.142413673515,0,878.50806
"474","~rain_cv2 + season2 + sex","~time","~gpp_avg2 * season2","Phi(~rain_cv2 + season2 + sex)p(~time)f(~gpp_avg2 * season2)",30,17713.4190859729,184.327413673516,0,878.69289
"375","~rain_cv_lag2 * season2","~time","~rain_cv_lag2 + season2","Phi(~rain_cv_lag2 * season2)p(~time)f(~rain_cv_lag2 + season2)",29,17713.4517285887,184.360056289326,0,880.76236
"741","~rain_sum2 + season2 + sex","~time + sex","~rain_cv_lag2 * season2 + sex","Phi(~rain_sum2 + season2 + sex)p(~time + sex)f(~rain_cv_lag2 * season2 + sex)",32,17713.519488681,184.42781638162,0,874.71713
"395","~rain_cv_lag2 * season2","~time + sex","~temp_cv2 * season2","Phi(~rain_cv_lag2 * season2)p(~time + sex)f(~temp_cv2 * season2)",31,17713.6246722993,184.533000000003,0,876.861
"479","~rain_cv2 + season2 + sex","~time + sex","~gpp_avg2 + season2","Phi(~rain_cv2 + season2 + sex)p(~time + sex)f(~gpp_avg2 + season2)",30,17714.0580859729,184.966413673515,0,879.3317
"319","~rain_cv_lag2 + season2","~time","~rain_cv_lag2 + season2 + sex","Phi(~rain_cv_lag2 + season2)p(~time)f(~rain_cv_lag2 + season2 + sex)",29,17714.1327285887,185.041056289327,0,881.44264
"385","~rain_cv_lag2 * season2","~time + sex","~rain_cv_lag2 + season2","Phi(~rain_cv_lag2 * season2)p(~time + sex)f(~rain_cv_lag2 + season2)",30,17714.1660859729,185.074413673516,0,879.44031
"305","~rain_cv_lag2","~time + sex","~rain_cv2 + season2 + sex","Phi(~rain_cv_lag2)p(~time + sex)f(~rain_cv2 + season2 + sex)",29,17714.2717285887,185.180056289326,0,881.58161
"726","~rain_sum2 + season2","~year2","~rain_sum_lag2 * season2 + sex","Phi(~rain_sum2 + season2)p(~year2)f(~rain_sum_lag2 * season2 + sex)",19,17715.782502706,186.690830406616,0,903.38938
"341","~rain_cv_lag2 + season2","~time + sex","~temp_cv2 * season2","Phi(~rain_cv_lag2 + season2)p(~time + sex)f(~temp_cv2 * season2)",30,17716.0220859729,186.930413673515,0,881.29605
"800","~rain_sum2 * season2","~year2","~oni_avg2 * season2 + sex","Phi(~rain_sum2 * season2)p(~year2)f(~oni_avg2 * season2 + sex)",20,17717.1176315789,188.025959279614,0,902.70035
"755","~rain_sum2 + season2 + sex","~year2","~gpp_avg2 * season2 + sex","Phi(~rain_sum2 + season2 + sex)p(~year2)f(~gpp_avg2 * season2 + sex)",20,17717.4516315789,188.359959279613,0,903.03366
"291","~rain_cv_lag2","~time","~rain_cv2 + season2","Phi(~rain_cv_lag2)p(~time)f(~rain_cv2 + season2)",27,17718.5546962025,189.463023903194,0,889.93414
"484","~rain_cv2 + season2 + sex","~year2","~gpp_avg2 + season2","Phi(~rain_cv2 + season2 + sex)p(~year2)f(~gpp_avg2 + season2)",18,17718.7485906222,189.656918322849,0,908.37822
"37","~gpp_avg2 + season2","~time","~rain_cv_lag2 + season2 + sex","Phi(~gpp_avg2 + season2)p(~time)f(~rain_cv_lag2 + season2 + sex)",29,17719.0697285887,189.978056289325,0,886.37983
"931","~temp_cv2 * season2","~time","~rain_cv_lag2 * season2 + sex","Phi(~temp_cv2 * season2)p(~time)f(~rain_cv_lag2 * season2 + sex)",31,17719.1986722993,190.107,0,882.4345
"944","~temp_cv2 * season2","~time + sex","~rain_cv_lag2 * season2 + sex","Phi(~temp_cv2 * season2)p(~time + sex)f(~rain_cv_lag2 * season2 + sex)",32,17719.735488681,190.64381638162,0,880.93333
"799","~rain_sum2 * season2","~year2","~oni_avg2 * season2","Phi(~rain_sum2 * season2)p(~year2)f(~oni_avg2 * season2)",19,17719.776502706,190.684830406615,0,907.38313
"304","~rain_cv_lag2","~time + sex","~rain_cv2 + season2","Phi(~rain_cv_lag2)p(~time + sex)f(~rain_cv2 + season2)",28,17720.4815990353,191.389926735937,0,889.82676
"718","~rain_sum2 + season2","~year2","~oni_avg2 * season2","Phi(~rain_sum2 + season2)p(~year2)f(~oni_avg2 * season2)",18,17720.9525906222,191.860918322847,0,910.58169
"725","~rain_sum2 + season2","~year2","~rain_sum_lag2 * season2","Phi(~rain_sum2 + season2)p(~year2)f(~rain_sum_lag2 * season2)",18,17721.6095906222,192.517918322847,0,911.23915
"952","~temp_cv2 * season2","~time + sex","~rain_sum2 * season2 + sex","Phi(~temp_cv2 * season2)p(~time + sex)f(~rain_sum2 * season2 + sex)",32,17721.990488681,192.898816381618,0,883.18818
"770","~rain_sum2 * season2","~time","~rain_cv_lag2 * season2 + sex","Phi(~rain_sum2 * season2)p(~time)f(~rain_cv_lag2 * season2 + sex)",31,17722.0026722993,192.911,0,885.23861
"973","~temp_cv2 * season2 + sex","~time + sex","~rain_cv_lag2 + season2","Phi(~temp_cv2 * season2 + sex)p(~time + sex)f(~rain_cv_lag2 + season2)",31,17722.2616722993,193.170000000002,0,885.49828
"967","~temp_cv2 * season2 + sex","~time","~rain_sum_lag2 + season2","Phi(~temp_cv2 * season2 + sex)p(~time)f(~rain_sum_lag2 + season2)",30,17722.6690859729,193.577413673516,0,887.94287
"919","~temp_cv2 + season2 + sex","~time + sex","~rain_cv_lag2 * season2 + sex","Phi(~temp_cv2 + season2 + sex)p(~time + sex)f(~rain_cv_lag2 * season2 + sex)",32,17722.800488681,193.708816381619,0,883.99822
"505","~rain_cv2 * season2","~year2","~gpp_avg2 + season2 + sex","Phi(~rain_cv2 * season2)p(~year2)f(~gpp_avg2 + season2 + sex)",19,17723.1845027059,194.092830406615,0,910.79102
"528","~rain_cv2 * season2 + sex","~year2","~rain_sum2 + season2 + sex","Phi(~rain_cv2 * season2 + sex)p(~year2)f(~rain_sum2 + season2 + sex)",20,17724.3876315789,195.295959279611,0,909.96951
"976","~temp_cv2 * season2 + sex","~time + sex","~rain_sum_lag2 + season2","Phi(~temp_cv2 * season2 + sex)p(~time + sex)f(~rain_sum_lag2 + season2)",31,17724.5596722993,195.468000000001,0,887.7963
"36","~gpp_avg2 + season2","~time","~rain_cv_lag2 + season2","Phi(~gpp_avg2 + season2)p(~time)f(~rain_cv_lag2 + season2)",28,17724.5895990353,195.497926735938,0,893.9348
"293","~rain_cv_lag2","~time","~rain_cv2 * season2","Phi(~rain_cv_lag2)p(~time)f(~rain_cv2 * season2)",28,17724.8035990353,195.711926735938,0,894.1487
"809","~rain_sum2 * season2","~year2","~rain_sum2 + season2 + sex","Phi(~rain_sum2 * season2)p(~year2)f(~rain_sum2 + season2 + sex)",19,17725.0055027059,195.913830406615,0,912.61187
"930","~temp_cv2 * season2","~time","~rain_cv_lag2 + season2 + sex","Phi(~temp_cv2 * season2)p(~time)f(~rain_cv_lag2 + season2 + sex)",30,17725.2600859729,196.168413673517,0,890.53418
