"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"4747","~rain_cv_lag2 * season2 + sex","~year2 * season2 + sex","~rain_sum_lag2 + season2 + sex + year2","Phi(~rain_cv_lag2 * season2 + sex)p(~year2 * season2 + sex)f(~rain_sum_lag2 + season2 + sex + year2)",42,17511.358551317,95.5379008315504,0,652.10011
"705","~gpp_avg2 + season2 + year2","~year2 + sex","~rain_cv2 * season2 + sex","Phi(~gpp_avg2 + season2 + year2)p(~year2 + sex)f(~rain_cv2 * season2 + sex)",30,17511.3670859729,95.5464354874166,0,676.64093
"2348","~oni_avg2 + season2 + year2","~year2","~rain_cv_lag2 + season2 + sex","Phi(~oni_avg2 + season2 + year2)p(~year2)f(~rain_cv_lag2 + season2 + sex)",28,17511.3675990353,95.5469485498397,0,680.7126
"2051","~oni_avg2 + season2 + sex","~year2 * season2 + sex","~rain_cv2 + season2 + sex + year2","Phi(~oni_avg2 + season2 + sex)p(~year2 * season2 + sex)f(~rain_cv2 + season2 + sex + year2)",41,17511.3753728814,95.5547223959184,0,654.16812
"11138","~temp_cv2 * season2","~year2 + sex","~oni_avg2 + season2 + sex + year2","Phi(~temp_cv2 * season2)p(~year2 + sex)f(~oni_avg2 + season2 + sex + year2)",30,17511.3820859729,95.561435487416,0,676.65559
"4640","~rain_cv_lag2 * season2 + sex","~year2","~oni_avg2 * season2 + sex + year2","Phi(~rain_cv_lag2 * season2 + sex)p(~year2)f(~oni_avg2 * season2 + sex + year2)",31,17511.4006722993,95.5800218139011,0,674.63718
"2003","~oni_avg2 + season2 + sex","~year2 + sex","~rain_cv_lag2 + season2 + sex + year2","Phi(~oni_avg2 + season2 + sex)p(~year2 + sex)f(~rain_cv_lag2 + season2 + sex + year2)",30,17511.4010859729,95.5804354874163,0,676.67534
"8994","~rain_sum2 + season2 + sex + year2","~year2 * season2 + sex","~rain_sum2 * season2","Phi(~rain_sum2 + season2 + sex + year2)p(~year2 * season2 + sex)f(~rain_sum2 * season2)",41,17511.4043728814,95.5837223959206,0,654.19691
"7469","~rain_sum_lag2 + season2 + year2","~year2 + sex","~rain_cv2 + season2 + sex","Phi(~rain_sum_lag2 + season2 + year2)p(~year2 + sex)f(~rain_cv2 + season2 + sex)",29,17511.4197285887,95.5990781032269,0,678.72995
"11156","~temp_cv2 * season2","~year2 + sex","~rain_sum_lag2 * season2 + sex + year2","Phi(~temp_cv2 * season2)p(~year2 + sex)f(~rain_sum_lag2 * season2 + sex + year2)",31,17511.4236722993,95.6030218139022,0,674.65996
