CodigoNacional,Fecha,Total,Traza,Parcial,NumDatos,FechaPro
330021,11-06-1967,0,0,0,1,2019-03-08 10:31
330021,12-06-1967,0,0,0,1,2019-03-08 10:31
330021,13-06-1967,0,0,0,1,2019-03-08 10:31
330021,14-06-1967,0,0,0,1,2019-03-08 10:31
330021,15-06-1967,0,0,0,1,2019-03-08 10:31
330021,16-06-1967,0,0,0,1,2019-03-08 10:31
330021,17-06-1967,0,0,0,1,2019-03-08 10:31
330021,18-06-1967,0,0,0,1,2019-03-08 10:31
330021,19-06-1967,0,0,0,1,2019-03-08 10:31
330021,20-06-1967,0,0,0,1,2019-03-08 10:31
330021,21-06-1967,0,0,0,0,2019-03-08 10:31
330021,22-06-1967,0,0,0,1,2019-03-08 10:31
330021,23-06-1967,0,0,0,1,2019-03-08 10:31
330021,24-06-1967,0,0,0,1,2019-03-08 10:31
330021,25-06-1967,0,0,0,1,2019-03-08 10:31
330021,26-06-1967,0,0,0,1,2019-03-08 10:31
330021,27-06-1967,0,0,0,1,2019-03-08 10:31
330021,28-06-1967,0,0,0,1,2019-03-08 10:31
330021,29-06-1967,0,0,0,1,2019-03-08 10:31
330021,30-06-1967,0,0,0,1,2019-03-08 10:31
330021,01-07-1967,0,0,0,1,2019-03-08 10:31
330021,02-07-1967,0,0,0,1,2019-03-08 10:31
330021,03-07-1967,0,0,0,1,2019-03-08 10:31
330021,04-07-1967,0,0,0,1,2019-03-08 10:31
330021,05-07-1967,0,0,0,1,2019-03-08 10:31
330021,06-07-1967,0,0,0,1,2019-03-08 10:31
330021,07-07-1967,0,0,0,1,2019-03-08 10:31
330021,08-07-1967,0,0,0,1,2019-03-08 10:31
330021,09-07-1967,0,0,0,1,2019-03-08 10:31
330021,10-07-1967,0,0,0,1,2019-03-08 10:31
330021,11-07-1967,0,0,0,1,2019-03-08 10:31
330021,12-07-1967,0,0,0,1,2019-03-08 10:31
330021,13-07-1967,0,0,0,1,2019-03-08 10:31
330021,14-07-1967,0,0,0,1,2019-03-08 10:31
330021,15-07-1967,0,1,0,1,2019-03-08 10:31
330021,16-07-1967,0,0,0,1,2019-03-08 10:31
330021,17-07-1967,0,1,0,1,2019-03-08 10:31
330021,18-07-1967,0,0,0,1,2019-03-08 10:31
330021,19-07-1967,0,0,0,1,2019-03-08 10:31
330021,20-07-1967,0,0,0,1,2019-03-08 10:31
330021,21-07-1967,0,0,0,1,2019-03-08 10:31
330021,22-07-1967,0,0,0,1,2019-03-08 10:31
330021,23-07-1967,0,0,0,1,2019-03-08 10:31
330021,24-07-1967,0,1,0,1,2019-03-08 10:31
330021,25-07-1967,0,1,0,1,2019-03-08 10:31
330021,26-07-1967,0,0,0,1,2019-03-08 10:31
330021,27-07-1967,0,0,0,1,2019-03-08 10:31
330021,28-07-1967,0,0,0,1,2019-03-08 10:31
330021,29-07-1967,0,0,0,1,2019-03-08 10:31
330021,30-07-1967,0,0,0,1,2019-03-08 10:31
330021,31-07-1967,0,0,0,1,2019-03-08 10:31
330021,01-08-1967,0,0,0,1,2019-03-08 10:31
330021,02-08-1967,0,0,0,1,2019-03-08 10:31
330021,03-08-1967,0,0,0,1,2019-03-08 10:31
330021,04-08-1967,0,0,0,1,2019-03-08 10:31
330021,05-08-1967,0,0,0,1,2019-03-08 10:31
330021,06-08-1967,0,0,0,1,2019-03-08 10:31
330021,07-08-1967,0,0,0,1,2019-03-08 10:31
330021,08-08-1967,0,0,0,1,2019-03-08 10:31
330021,09-08-1967,0,0,0,1,2019-03-08 10:31
330021,10-08-1967,0,0,0,1,2019-03-08 10:31
330021,11-08-1967,0,0,0,1,2019-03-08 10:31
330021,12-08-1967,0,0,0,1,2019-03-08 10:31
330021,13-08-1967,0,1,0,1,2019-03-08 10:31
330021,14-08-1967,0,0,0,1,2019-03-08 10:31
330021,15-08-1967,0,0,0,1,2019-03-08 10:31
330021,16-08-1967,0,0,0,1,2019-03-08 10:31
330021,17-08-1967,0,0,0,1,2019-03-08 10:31
330021,18-08-1967,0,0,0,1,2019-03-08 10:31
330021,19-08-1967,0,0,0,1,2019-03-08 10:31
330021,20-08-1967,0,0,0,1,2019-03-08 10:31
330021,21-08-1967,0,0,0,1,2019-03-08 10:31
330021,22-08-1967,0,0,0,1,2019-03-08 10:31
330021,23-08-1967,0,0,0,1,2019-03-08 10:31
330021,24-08-1967,0,0,0,1,2019-03-08 10:31
330021,25-08-1967,0,0,0,1,2019-03-08 10:31
330021,26-08-1967,0,0,0,1,2019-03-08 10:31
330021,27-08-1967,0,0,0,1,2019-03-08 10:31
330021,28-08-1967,0,0,0,1,2019-03-08 10:31
330021,29-08-1967,0,1,0,1,2019-03-08 10:31
330021,30-08-1967,0,0,0,0,2019-03-08 10:31
330021,31-08-1967,0,0,0,1,2019-03-08 10:31
330021,01-09-1967,0,0,0,1,2019-03-08 10:31
330021,02-09-1967,0,0,0,1,2019-03-08 10:31
330021,03-09-1967,0,0,0,1,2019-03-08 10:31
330021,04-09-1967,0,0,0,1,2019-03-08 10:31
330021,05-09-1967,0,0,0,1,2019-03-08 10:31
330021,06-09-1967,0,0,0,1,2019-03-08 10:31
330021,07-09-1967,0,0,0,1,2019-03-08 10:31
330021,08-09-1967,0,0,0,1,2019-03-08 10:31
330021,09-09-1967,0,0,0,1,2019-03-08 10:31
330021,10-09-1967,0,0,0,1,2019-03-08 10:31
330021,11-09-1967,0,0,0,1,2019-03-08 10:31
330021,12-09-1967,0,0,0,1,2019-03-08 10:31
330021,13-09-1967,0,0,0,1,2019-03-08 10:31
330021,14-09-1967,0,0,0,1,2019-03-08 10:31
330021,15-09-1967,0,0,0,1,2019-03-08 10:31
330021,16-09-1967,0,0,0,1,2019-03-08 10:31
330021,17-09-1967,0,0,0,1,2019-03-08 10:31
330021,18-09-1967,0,0,0,0,2019-03-08 10:31
330021,19-09-1967,0,0,0,1,2019-03-08 10:31
330021,20-09-1967,0,0,0,1,2019-03-08 10:31
330021,21-09-1967,0,0,0,1,2019-03-08 10:31
330021,22-09-1967,0,0,0,1,2019-03-08 10:31
330021,23-09-1967,0,0,0,1,2019-03-08 10:31
330021,24-09-1967,0,0,0,1,2019-03-08 10:31
330021,25-09-1967,0,0,0,1,2019-03-08 10:31
330021,26-09-1967,0,0,0,1,2019-03-08 10:31
330021,27-09-1967,0,0,0,1,2019-03-08 10:31
330021,28-09-1967,0,0,0,1,2019-03-08 10:31
330021,29-09-1967,0,0,0,1,2019-03-08 10:31
330021,30-09-1967,0,0,0,1,2019-03-08 10:31
330021,01-10-1967,0,0,0,1,2019-03-08 10:31
330021,02-10-1967,0,0,0,1,2019-03-08 10:31
330021,03-10-1967,0,0,0,1,2019-03-08 10:31
330021,04-10-1967,0,0,0,1,2019-03-08 10:31
330021,05-10-1967,0,0,0,1,2019-03-08 10:31
330021,06-10-1967,0,0,0,1,2019-03-08 10:31
330021,07-10-1967,0,0,0,1,2019-03-08 10:31
330021,08-10-1967,0,0,0,1,2019-03-08 10:31
330021,09-10-1967,0,0,0,1,2019-03-08 10:31
330021,10-10-1967,0,1,0,1,2019-03-08 10:31
330021,11-10-1967,0,0,0,1,2019-03-08 10:31
330021,12-10-1967,0,0,0,1,2019-03-08 10:31
330021,13-10-1967,0,0,0,1,2019-03-08 10:31
330021,14-10-1967,0,0,0,1,2019-03-08 10:31
330021,15-10-1967,0,0,0,1,2019-03-08 10:31
330021,16-10-1967,0,0,0,1,2019-03-08 10:31
330021,17-10-1967,0,0,0,1,2019-03-08 10:31
330021,18-10-1967,0,0,0,1,2019-03-08 10:31
330021,19-10-1967,0,0,0,1,2019-03-08 10:31
330021,20-10-1967,0,0,0,1,2019-03-08 10:31
330021,21-10-1967,0,0,0,1,2019-03-08 10:31
330021,22-10-1967,0,0,0,1,2019-03-08 10:31
330021,23-10-1967,0,0,0,1,2019-03-08 10:31
330021,24-10-1967,0,0,0,1,2019-03-08 10:31
330021,25-10-1967,0,0,0,1,2019-03-08 10:31
330021,26-10-1967,0,0,0,1,2019-03-08 10:31
330021,27-10-1967,0,0,0,1,2019-03-08 10:31
330021,28-10-1967,0,0,0,1,2019-03-08 10:31
330021,29-10-1967,0,0,0,1,2019-03-08 10:31
330021,30-10-1967,0,0,0,1,2019-03-08 10:31
330021,31-10-1967,0,1,0,1,2019-03-08 10:31
330021,01-11-1967,0,0,0,1,2019-03-08 10:31
330021,02-11-1967,0,0,0,1,2019-03-08 10:31
330021,03-11-1967,0,0,0,1,2019-03-08 10:31
330021,04-11-1967,0,0,0,1,2019-03-08 10:31
330021,05-11-1967,0,0,0,1,2019-03-08 10:31
330021,06-11-1967,0,0,0,1,2019-03-08 10:31
330021,07-11-1967,0,0,0,1,2019-03-08 10:31
330021,08-11-1967,0,0,0,1,2019-03-08 10:31
