"","Phi","p","f","model","npar","AICc","DeltaAICc","weight","Deviance"
"482","~year2","~season2 + sex","~year2 + season2 * sex","Phi(~year2)p(~season2 + sex)f(~year2 + season2 * sex)",28,17630.6925990353,190.989860378289,0,800.03839
"212","~season2 + sex","~season2 + sex","~year2 + season2 + sex","Phi(~season2 + sex)p(~season2 + sex)f(~year2 + season2 + sex)",19,17630.792502706,191.089764048964,0,818.39918
"510","~year2","~time + sex","~season2 * sex","Phi(~year2)p(~time + sex)f(~season2 * sex)",38,17631.2222806169,191.519541959889,0,780.16081
"537","~year2","~year2 * season2 + sex","~season2 * sex","Phi(~year2)p(~year2 * season2 + sex)f(~season2 * sex)",38,17631.2222806169,191.519541959889,0,780.16087
"902","~year2 + sex","~season2","~year2 * season2","Phi(~year2 + sex)p(~season2)f(~year2 * season2)",35,17631.7733293051,192.070590648149,0,786.84655
"87","~season2","~1","~year2 * season2","Phi(~season2)p(~1)f(~year2 * season2)",24,17632.1363369467,192.433598289717,0,809.60983
"311","~season2 * sex","~season2 + sex","~year2 + season2 + sex","Phi(~season2 * sex)p(~season2 + sex)f(~year2 + season2 + sex)",20,17632.8166315789,193.11389292196,0,818.39912
"1043","~year2 * sex","~time","~season2 + sex","Phi(~year2 * sex)p(~time)f(~season2 + sex)",47,17634.5461018799,194.843363222943,0,765.01245
"1081","~year2 * sex","~year2 * season2","~season2 + sex","Phi(~year2 * sex)p(~year2 * season2)f(~season2 + sex)",47,17634.6131018799,194.910363222942,0,765.08005
"211","~season2 + sex","~season2 + sex","~year2 + season2","Phi(~season2 + sex)p(~season2 + sex)f(~year2 + season2)",18,17634.6305906222,194.927851965196,0,824.2603
"57","~1","~time","~year2 + season2","Phi(~1)p(~time)f(~year2 + season2)",35,17634.8663293051,195.16359064815,0,789.94043
"500","~year2","~time","~season2 * sex","Phi(~year2)p(~time)f(~season2 * sex)",37,17635.3570604595,195.654321802507,0,786.34217
"526","~year2","~year2 * season2","~season2 * sex","Phi(~year2)p(~year2 * season2)f(~season2 * sex)",37,17635.3570604595,195.654321802507,0,786.34219
"1012","~year2 * sex","~season2","~year2 * season2","Phi(~year2 * sex)p(~season2)f(~year2 * season2)",45,17636.6145454545,196.911806797561,0,771.1947
"310","~season2 * sex","~season2 + sex","~year2 + season2","Phi(~season2 * sex)p(~season2 + sex)f(~year2 + season2)",19,17636.653502706,196.950764048965,0,824.26037
"469","~year2","~season2","~year2 + season2 * sex","Phi(~year2)p(~season2)f(~year2 + season2 * sex)",27,17636.6636962025,196.960957545543,0,808.04315
"472","~year2","~season2","~year2 * season2 + sex","Phi(~year2)p(~season2)f(~year2 * season2 + sex)",35,17636.7603293051,197.05759064815,0,791.83389
"1025","~year2 * sex","~season2 + sex","~year2 * season2","Phi(~year2 * sex)p(~season2 + sex)f(~year2 * season2)",46,17637.4987002122,197.795961555199,0,770.02256
"110","~season2","~season2 + sex","~year2 + season2 + sex","Phi(~season2)p(~season2 + sex)f(~year2 + season2 + sex)",18,17638.0065906222,198.303851965196,0,827.63618
"200","~season2 + sex","~season2","~year2 + season2 * sex","Phi(~season2 + sex)p(~season2)f(~year2 + season2 * sex)",19,17638.850502706,199.147764048965,0,826.4572
